chamber,id,town,cover_area,total_area,share_covered
senate,S013,Meriden,62581035.13754693,192544412.86632657,0.3250212987535174
senate,S013,Middlefield,34315312.15835023,192544412.86632657,0.17822024356621316
senate,S013,Middletown,44692671.99900043,192544412.86632657,0.23211617171165697
senate,S014,Milford,61327590.866860956,129184335.21942413,0.47472931422137127
senate,S014,Orange,45110398.55937672,129184335.21942413,0.3491940294676992
senate,S014,West Haven,13906556.80009842,129184335.21942413,0.1076489403802531
senate,S014,Woodbridge,8130565.779756069,129184335.21942413,0.06293770654116862
senate,S015,Middlebury,13242414.880281448,85723747.1641975,0.15447778845827378
senate,S015,Naugatuck,11645849.33633411,85723747.1641975,0.1358532462892382
senate,S015,Waterbury,60835487.43219042,85723747.1641975,0.7096690175671455
senate,S016,Cheshire,35464561.5483965,236619987.9862817,0.14987982143948295
senate,S016,Prospect,37501704.73335314,236619987.9862817,0.15848916675427835
senate,S016,Southington,94868833.16980246,236619987.9862817,0.40093330228426255
senate,S016,Waterbury,14092467.800815478,236619987.9862817,0.059557385328041286
senate,S016,Wolcott,54673872.64149523,236619987.9862817,0.23106193651174137
senate,S017,Ansonia,16045922.141880512,213690331.4229657,0.07508960295503583
senate,S017,Beacon Falls,25373918.434566498,213690331.4229657,0.1187415371842112
senate,S017,Bethany,55621805.877170086,213690331.4229657,0.2602916355961639
senate,S017,Derby,14029030.349165797,213690331.4229657,0.06565121714092709
senate,S017,Hamden,30156433.188391685,213690331.4229657,0.14112212278197026
senate,S017,Naugatuck,30883359.952958584,213690331.4229657,0.14452389936084628
senate,S017,Woodbridge,41579661.25624275,213690331.4229657,0.19457904800541717
senate,S018,Griswold,95931316.69365883,806760962.2839154,0.11890921992814356
senate,S018,Groton,91897160.13120496,806760962.2839154,0.11390878392410923
senate,S018,North Stonington,142283171.95898438,806760962.2839154,0.17636348139129726
senate,S018,Plainfield,111334801.1459713,806760962.2839154,0.1380022167046679
senate,S018,Preston,82184725.0790751,806760962.2839154,0.10186998246223104
senate,S018,Sterling,70796168.83864284,806760962.2839154,0.08775358767759543
senate,S018,Stonington,109413911.6678276,806760962.2839154,0.1356212270832741
senate,S018,Voluntown,102916160.57407951,806760962.2839154,0.1275671052336581
senate,S019,Columbia,56954547.62778902,688711749.5330038,0.08269722081321874
senate,S019,Franklin,51287575.70468426,688711749.5330038,0.0744688554238561
senate,S019,Hebron,96451419.36152136,688711749.5330038,0.1400461360313983
